Final Event Number	Date & Time Reported	Date and Time Occurred	Log Type	Location	Status	Remarks	AreaName
2016-0010484	8/6/2016  12:27:00 AM	8/6/2016 12:27:00AM To 12:50:00AM	ASSIST STATE POLICE	 MEMORIAL DR / DEWOLFE ST	CLOSED	Officer dispatched to take a report of a past assault and battery with a dangerous weapon.	River Team
2016-0010491	8/6/2016  8:08:09 AM	8/6/2016  8:08:00AM	ASSIST STATE POLICE	HARVARD BRIDGE MASSACHUSETTS AVE	CLOSED	Officer dispatched to a report of two possible individuals in the water with one of them struggling to swim. Officer arrived and report no individuals in the water.	Yard Team
2016-0010577	8/9/2016  9:20:56 PM	8/9/2016  9:20:00PM	ASSIST STATE POLICE	JFK PARK 968 MEMORIAL DR	CLOSED	Officers dispatched to a report of a fight in the area. Officers arrived and report individuals gone on arrival.	Radcliffe/Quad Team
2016-0010626	8/10/2016  1:26:25 PM	8/10/2016  1:26:00PM	ASSIST STATE POLICE	 N HARVARD ST / SOLDIERS FIELD RD	CLOSED	Officer dispatched to a report of a motor vehicle accident with potential property damage to Harvard property. Officer arrived and report no damage done to Harvard property.	Allston/Watertown Team
2016-0010843	8/17/2016  11:59:36 AM	8/17/2016 11:59:00AM	ASSIST STATE POLICE	JFK PARK 968 MEMORIAL DR	CLOSED	Officer while on patrol report a motor vehicle accident with no personal injuries. Officer assisted individuals with exchanging paperwork.	Radcliffe/Quad Team
2016-0011095	8/23/2016  5:47:08 PM	8/23/2016  5:47:00PM	ASSIST STATE POLICE	JFK PARK 968 MEMORIAL DR	CLOSED	Officers dispatched on the report of a group of individuals trying to obtain food and drink from an event.  Upon arrival officers could not locate the individuals.	Radcliffe/Quad Team
2016-0011108	8/24/2016  1:12:09 AM	8/24/2016  1:12:00AM	ASSIST STATE POLICE	WELD BOATHOUSE 971 MEMORIAL DR	CLOSED	Officers dispatched to a report of an individual screaming in the area. Officers arrived and report negative results.	River Team
2016-0011447	8/26/2016  1:52:00 PM	8/25/2016  1:40:00PM To  1:52:00PM	ASSIST STATE POLICE	JFK PARK 968 MEMORIAL DR	CLOSED	"Officers dispatched to a report of two unwanted guests in the area. Officers arrived, located individuals and sent them on their way."	Radcliffe/Quad Team
2016-0011911	9/7/2016  5:00:00 PM	9/7/2016  4:50:00PM To  5:00:00PM	ASSIST STATE POLICE	JFK PARK 968 MEMORIAL DR	CLOSED	Officer dispatched to take a report of a past assault and battery.	Radcliffe/Quad Team
2016-0011917	9/7/2016  8:55:28 PM	9/7/2016  8:55:00PM	ASSIST STATE POLICE	 MEMORIAL DRIVE / WESTERN AVE	CLOSED	Officer dispatched to take a report of a past motor vehicle accident.	Other
2016-0012345	9/17/2016  8:26:27 PM	9/17/2016  8:26:00PM	ASSIST STATE POLICE	JFK PARK 968 MEMORIAL DR	CLOSED	Officers dispatched to remove a group from the area. Officers arrived and report group gone on arrival.	Radcliffe/Quad Team
2016-0012587	9/23/2016  10:49:46 AM	9/23/2016 10:49:00AM	ASSIST STATE POLICE	 1 US 20	CLOSED	Report that a bicycle was left on Storrow Drive. MSP notified.	
2016-0012829	9/28/2016  9:08:52 PM	9/28/2016  9:08:00PM	ASSIST STATE POLICE	WEEKS BRIDGE 1 MEMORIAL DR	CLOSED	Officers dispatched to a report of two individuals arguing. Officers arrived and report individuals were not arguing they were just having a discussion.	River Team
2016-0012857	9/29/2016  7:53:27 PM	9/29/2016  7:53:00PM	ASSIST STATE POLICE	JFK PARK 968 MEMORIAL DR	CLOSED	Officers dispatched to remove a group from the area. Officers arrived and report group scattered from the area.	Radcliffe/Quad Team
2016-0013224	10/7/2016  6:11:00 PM	10/7/2016  6:00:00PM To  6:30:00PM	ASSIST STATE POLICE	JFK PARK 968 MEMORIAL DR	CLOSED	"Officers dispatched to a report of a large group in the area. Officers arrived, located one individual who refused to leave the area. The officers proceeded to conduct a field individual on the individual. The individual was run for wants/warrants with negative results. The individual was then sent on their way."	Radcliffe/Quad Team
2016-0013810	10/22/2016  6:05:00 PM	10/22/2016  6:05:00PM To  7:00:00PM	ASSIST STATE POLICE	 NORTH HARVARD ST / SOLDIERS FIELD RD	CLOSED	Officer dispatched to take a report of a pedestrian that was struck by a motor vehicle. The individual was transported to a medical facility.	Allston/Watertown Team
2016-0013993	10/27/2016  10:20:00 PM	10/27/2016 10:20:00PM To 10:30:00PM	ASSIST STATE POLICE	 SOLDIERS FIELD RD / N HARVARD ST	CLOSED	Officer while on patrol observed a motor vehicle accident with no personal injuries. MSP was notified and arrived on scene and took over call.	Allston/Watertown Team
2016-0010370	8/3/2016  6:51:00 PM	8/3/2016  6:30:00PM	ASSIST TRANSIT POLICE	HUPD HQ 1033-6 MASSACHUSETTS AVE	CLOSED	Officer dispatched to take a report of an indecent assault.	Yard Team
2016-0011821	9/5/2016  4:35:19 PM	9/5/2016  4:35:00PM	ASSIST TRANSIT POLICE	KIOSK 1400 MASSACHUSETTS AVE	CLOSED	Officers dispatched to a report of an individual swinging a gold club in the area. Officers arrived and report individual was just twirling their cane waiting for their ride.	Radcliffe/Quad Team
2016-0014096	10/30/2016  11:00:45 AM	10/30/2016 11:00:00AM	ASSIST TRANSIT POLICE	JOHNSTON GATE 47 HARVARD YARD	CLOSED	Officer dispatched to a report of an individual sleeping on a bench. Officer arrived and report individual gone on arrival.	Yard Team
2016-0008541	6/21/2016  6:09:00 PM	6/21/2016  6:09:00PM	BOMB THREAT	HUPD HQ 1033-6 MASSACHUSETTS AVE	OPEN	Officer took a report of a bomb threat. Report filed and investigation ongoing.	Yard Team
2016-0011918	9/7/2016  9:11:00 PM	9/7/2016  8:30:00PM To  9:00:00PM	BOMB THREAT	HUPD HQ 1033-6 MASSACHUSETTS AVE	OPEN	"Officer took a report over the phone of a bomb threat. Report filed, investigation ongoing."	Yard Team
2016-0013666	10/18/2016  10:12:00 PM	10/18/2016  8:05:00PM	BOMB THREAT	HUPD HQ 1033-6 MASSACHUSETTS AVE	OPEN	Officer took a report of a bomb threat. Report filed and investigation ongoing.	Yard Team
2016-0009519	7/11/2016  12:23:00 PM	7/11/2016 11:00:00AM To 12:26:00PM	CHEMICAL SPILL	FXB 651 HUNTINGTON AVE	CLOSED	Officer dispatched to a report of a chemical spill. Officer arrived and was informed that a small amount of the chemical Glycerol was found on a bottom shelf. EH&S was notified and arrived on scene and determined the chemical was not hazardous. The chemical was then cleaned up by EH&S.	Longwood Team
2016-0009527	7/11/2016  4:33:00 PM	7/11/2016  4:35:00PM To  5:30:00PM	DEMONSTRATION	MEDICAL SCHOOL QUAD 202 LONGWOOD AVE	CLOSED	Officers dispatched to monitor a demonstration that went without incident.	Longwood Team
2016-0011906	9/7/2016  2:54:00 PM	9/7/2016  2:54:00PM To  4:27:00PM	DEMONSTRATION	HARVARD YARD 1 PEABODY ST	CLOSED	Officer dispatched to monitor a demonstration that went without incident.	Yard Team
2016-0012118	9/12/2016  12:58:00 PM	9/12/2016 12:20:00PM To  1:00:00PM	DEMONSTRATION	GORDON HALL 25 SHATTUCK ST	CLOSED	Officer dispatched to monitor a demonstration that went without incident.	Longwood Team
2016-0012273	9/16/2016  8:58:00 AM	9/16/2016  8:55:00AM To  9:15:00AM	DEMONSTRATION	GUTMAN LIBRARY 6 APPIAN WAY	CLOSED	Officer dispatched to monitor a demonstration that went without incident.	Radcliffe/Quad Team
2016-0012337	9/17/2016  1:21:00 PM	9/17/2016  1:00:00PM To  3:00:00PM	DEMONSTRATION	UNIVERSITY HALL 1 HARVARD YARD	CLOSED	Officer while on patrol observed a demonstration that went without incident.	Yard Team
2016-0012341	9/17/2016  4:26:00 PM	9/17/2016  4:15:00PM To  5:00:00PM	DEMONSTRATION	SCIENCE CENTER PLAZA 1 OXFORD ST	CLOSED	Officers while on detail observed a demonstration that went without incident.	North Yard Team
2016-0012520	9/21/2016  5:36:00 PM	9/21/2016  5:30:00PM To  6:00:00PM	DEMONSTRATION	FAS OFFICES 60 JFK ST	CLOSED	Officer dispatched to monitor a demonstration that went without incident.	River Team
2016-0012908	9/30/2016  3:21:00 PM	9/30/2016  3:00:00PM To  6:10:00PM	DEMONSTRATION	MASSACHUSETTS HALL 11 HARVARD YARD	CLOSED	Officer dispatched to monitor a demonstration that went without incident.	Yard Team
2016-0013548	10/14/2016  4:55:00 PM	10/14/2016  4:08:00PM	DEMONSTRATION	SCIENCE CENTER 1 OXFORD ST	CLOSED	Officer while on detail removed two unknown individuals from the area by request from the event moderator.	North Yard Team
2016-0013796	10/22/2016  11:50:00 AM	10/22/2016 10:00:00AM To 11:50:00AM	DEMONSTRATION	SPANGLER CENTER 117 WESTERN AVE	CLOSED	Officer dispatched to monitor a demonstration that went without incident.	Allston/Watertown Team
2016-0014020	10/28/2016  1:30:00 PM	10/28/2016  1:00:00PM To  2:15:00PM	DEMONSTRATION	MEMORIAL CHURCH 23 HARVARD YARD	CLOSED	Officer observed a demonstration that went without incident.	Yard Team
2016-0014135	10/31/2016  4:39:00 PM	10/31/2016  4:38:00PM To  5:10:00PM	DEMONSTRATION	SMITH CAMPUS CENTER 1350 MASSACHUSETTS AVE	CLOSED	Officer took a report of a demonstration that went without incident.	River Team
2016-0012123	9/12/2016  2:28:00 PM	9/12/2016  2:28:00PM	DISORDERLY CONDUCT	HOUGHTON LIBRARY 29 HARVARD YARD	ARREST	"Officer while on detail was informed of an individual in the area who was undressing. Officer proceeded to the area and located the individual with only their shorts on. Officer approached the individual and ordered the individual to stay seated to which they did not comply. The individual began causing a disturbance by shouting and yelling at the officer and then attempting to walk away in which the officer had to put their hand on the individual's wrist. The individual again began to yell at the officer and then fled from the officer. Additional officers were notified and were able to corner the individual between 10 and 20 DeWolfe Street. At this time, the officers informed the individual that they were being arrested for Disorderly Conduct to which the individual began to resist causing officers to wrestle the individual to the ground. Once the individual was placed under arrest they were run for wants/warrants which came up positive for an active warrant.
Name: Meserve, Nicholas
Age: 23
Address: 54 Union Street, Lynn, MA 01902
Charge(s): Disorderly Conduct
Providing a False Name to Police
Resisting Arrest"	Yard Team
2016-0008900	6/29/2016  12:18:00 AM	6/29/2016 12:18:00AM	DISTURBANCE	RADCLIFFE CAMPUS DRIVE 45 SHEPARD ST	CLOSED	Officers dispatched to a report of an altercation between two individuals regarding a taxi cab fare. Officers arrived and report dispute was settled between the cab driver and the individual.	Radcliffe/Quad Team
2016-0010151	7/28/2016  3:16:00 PM	7/28/2016 11:45:00AM To 11:54:00AM	DISTURBANCE	NRB NEW RESEARCH BUILDING 77 AVE LOUIS PASTEUR	CLOSED	Officer dispatched to take a report of a past disturbance.	Longwood Team
2016-0010260	7/31/2016  3:29:00 PM	7/31/2016  3:00:00PM To  3:40:00PM	DISTURBANCE	HEMENWAY GYMNASIUM H 1515 MASSACHUSETTS AVE	CLOSED	Officer dispatched to take a report of a disturbance between two individuals.	North Yard Team
2016-0010294	8/1/2016  5:39:00 PM	8/1/2016  5:39:00PM To  6:30:00PM	DISTURBANCE	GUTMAN LIBRARY 6 APPIAN WAY	CLOSED	Officers dispatched to take a report of a disturbance.	Radcliffe/Quad Team
2016-0010318	8/2/2016  9:33:00 AM	8/2/2016  9:33:00AM	DISTURBANCE	ANNENBERG HALL 18 KIRKLAND ST	CLOSED	"Officer dispatched to take a report of a past unwanted guest issue.
Update 9/8/16: Upon further investigation this incident has been reclassified from Unwanted Guest to a Disturbance."	Yard Team
2016-0010894	8/18/2016  5:59:15 PM	8/18/2016  5:59:00PM	DISTURBANCE	TERRY TERRACE 15 EVERETT ST	CLOSED	Officers dispatched to a report of a possible disturbance in the area. Officers arrived and report negative results.	North Yard Team
2016-0011180	8/25/2016  6:52:00 PM	8/25/2016  6:30:00PM To  7:00:00PM	DISTURBANCE	LONGWOOD CAMPUS OPERATIONS 180 LONGWOOD AVE	CLOSED	Officer dispatched to take a report of a past disturbance.	Longwood Team
2016-0012204	9/14/2016  2:05:00 PM	9/14/2016  2:00:00PM To  2:15:00PM	DISTURBANCE	WINTHROP HOUSE 1201 MASSACHUSETTS AVE	CLOSED	Officer dispatched to take a report of a past disturbance.	Yard Team
2016-0012875	9/29/2016  11:59:12 PM	9/29/2016 11:59:00PM	DISTURBANCE	HARVARD YARD 1 PEABODY ST	CLOSED	Officers dispatched to a report of individuals knocking over chairs in the area. Officers arrived and report crowd had dispersed.	Yard Team
2016-0013226	10/7/2016  7:08:00 PM	10/7/2016  7:00:00PM To  8:00:00PM	DISTURBANCE	STORY HALL 12 EVERETT ST	CLOSED	Officer dispatched to take a report of domestic disturbance.	North Yard Team
2016-0013979	10/27/2016  11:49:51 AM	10/27/2016 11:49:00AM	DISTURBANCE	LITTAUER KSG 79 JFK ST	CLOSED	Officer dispatched to a report of an individual causing a disturbance. Officer arrived and report individual gone on arrival.	Radcliffe/Quad Team
2016-0014060	10/29/2016  8:26:00 AM	10/29/2016  8:25:00AM To  9:44:00AM	DOMESTIC DISTURBANCE	 5 COWPERTHWAITE ST	CLOSED	Officer dispatched to take a report of a domestic disturbance.	Radcliffe/Quad Team
2016-0008489	6/21/2016  12:42:00 AM	6/21/2016 12:42:00AM To  1:00:00AM	FIELD INTERVIEW	LONGFELLOW HALL 13 APPIAN WAY	CLOSED	"Officers dispatched to a call from an emergency box. Officers arrived, located individual and report individual did not know that the callbox was a call to the police department. The individual was then sent on their way."	Radcliffe/Quad Team
2016-0009489	7/10/2016  3:55:00 PM	7/10/2016  3:50:00PM To  4:25:00PM	FIELD INTERVIEW	CONANT HALL 36 OXFORD ST	CLOSED	"Officer dispatched to a report of two individuals acting suspicious around the bicycle rack by pulling on a bicycle. Officer arrived, located both individuals and conducted a field interview. The individuals was run for wants/warrants with negative results. The officer then sent both individuals on their way."	North Yard Team
2016-0009535	7/11/2016  9:58:00 PM	7/11/2016  9:58:00PM To 10:20:00PM	FIELD INTERVIEW	DANA PALMER HOUSE 16 QUINCY ST	CLOSED	"Officers dispatched to a report of a group of juveniles climbing the scaffolding of the building. Officers arrived, located the individuals with the help of security and conducted a field interview on all five individuals. The individuals were then transported back to the HUPD and picked up by their parents."	Yard Team
2016-0010005	7/24/2016  1:52:00 AM	7/24/2016  1:50:00AM To  2:50:00AM	FIELD INTERVIEW	STADIUM 79 N HARVARD ST	CLOSED	Officers dispatched to a report of a number of groups who were inside of the stadium. Officers arrived and were able to locate one individual and conducted a field interview. The individual was then sent on their way.	Allston/Watertown Team
2016-0010052	7/25/2016  4:08:00 PM	7/25/2016  4:00:00PM To  4:40:00PM	FIELD INTERVIEW	 KENNEDY ST / ELIOT ST	CLOSED	"Officers dispatched to a report of an individual wearing a tee shirt that may have been stolen. Officers arrived, located individual and conducted a field interview. The individual was then sent on their way."	Radcliffe/Quad Team
2016-0011119	8/24/2016  11:25:00 AM	8/24/2016 11:25:00AM	FIELD INTERVIEW	 MEMORIAL DR/AKRON ST	CLOSED	Officer while on patrol observed two individuals rummaging through a package. Officer proceeded to stop the individuals and request back up to which additional officers arrived. The officer then conducted a field interview on both individuals. The two individuals were run for wants/warrants with negative results. The individuals were then sent on their way.	River Team
2016-0011171	8/25/2016  1:44:00 PM	8/25/2016  1:44:00PM	FIELD INTERVIEW	WASSERSTEIN HALL 1585 MASSACHUSETTS AVE	CLOSED	"Officer dispatched to a report of an individual at an event who may not have authorization to be there. Officer arrived, located individual and conducted a field interview. The individual was run for wants/warrants with negative results. The individual was then allowed to stay at the event."	North Yard Team
2016-0011186	8/25/2016  11:17:00 PM	8/24/2016 To 8/25/201610:00:00PM To 12:51:00AM	FIELD INTERVIEW	WELD HALL 3 HARVARD YARD	CLOSED	"Officer dispatched to a report of two individuals in the area who may not have authorization to be there. Officer arrived, located individuals and conducted a field interview. The individuals were then sent on their way."	Yard Team
2016-0011552	8/29/2016  2:58:00 PM	8/26/2016 To 8/29/2016 2:00:00PM To  2:58:00PM	FIELD INTERVIEW	AGASSIZ HOUSE 14 MASON ST	CLOSED	"Officers dispatched to a report of an individual in the area who may not have authorization to be there. Officers arrived, located individual and conducted a field interview. The individual was then sent on their way."	Radcliffe/Quad Team
2016-0011586	8/30/2016  3:49:00 PM	8/30/2016  3:49:00PM	FIELD INTERVIEW	GUND HALL 48 QUINCY ST	CLOSED	"Officer dispatched to a report of an individual in the area who may not have authorization to be there. Officer arrived, located individual and conducted a field interview. The individual was run for wants/warrants with negative results. The individual was then sent on their way."	North Yard Team
2016-0012001	9/9/2016  4:04:00 PM	9/9/2016  4:00:00PM To  4:15:00PM	FIELD INTERVIEW	CENTER FOR POPULATION STUDIES 22 PLYMPTON ST	CLOSED	"Officer dispatched to a report of an individual sleeping in the alleyway. Officer arrived, located individual and conducted a field interview. The individual was run for wants/warrants with negative results. The individual was then sent on their way."	River Team
2016-0012551	9/22/2016  12:29:00 PM	9/22/2016 12:29:00PM	FIELD INTERVIEW	WASSERSTEIN HALL 1585 MASSACHUSETTS AVE	CLOSED	"Officer dispatched to a report of an individual recording a lecture without the proper authorization to do so. Officer arrived, located individual with assistance from university officials and conducted a field interview. The individual was then sent on their way."	North Yard Team
2016-0012736	9/26/2016  3:27:00 PM	9/26/2016  3:25:00PM To  3:50:00PM	FIELD INTERVIEW	KENNEDY SCHOOL COURTYARD 79 JFK ST	CLOSED	"Officer dispatched to a report of an unwanted guest in the building. Officer arrived, located individual and conducted a field interview. The individual was run for wants/warrants with negative results. The individual was then sent on their way."	Radcliffe/Quad Team
2016-0012748	9/27/2016  2:50:00 AM	9/27/2016  2:50:00AM	FIELD INTERVIEW	WIDENER GATE 42 HARVARD YARD	CLOSED	"Officers dispatched to a report of an individual wandering around the area paying close attention to the bike rack around Matthews Hall. Officers arrived, located individual and conducted a field interview. The individual was run for wants/warrants with negative results. The individual was informed of their active trespass warning and was transported to back to their residence."	Yard Team
2016-0013180	10/6/2016  6:46:00 PM	10/6/2016  6:40:00PM To  7:40:00PM	FIELD INTERVIEW	GEOLOGY MUSEUM 26 OXFORD ST	CLOSED	"Officers dispatched to a report of an unwanted guest attending a lecture. Officers arrived, located individual and conducted a field interview. The individual was then sent on their way."	North Yard Team
2016-0013720	10/20/2016  11:27:26 AM	10/20/2016 11:27:00AM	FIELD INTERVIEW	 DUNSTER ST / MASSACHUSETTS AVE	CLOSED	Officer while on patrol observed an individual who resembled a suspect wanted in a recent breaking and entering. Officer approached the individual and conducted a field interview. The individual was run for wants/warrants which came up positive for a wanted/missing person. The juvenile was then transported to HUPD headquarters and then eventually transported to a medical facility.	River Team
2016-0007882	6/1/2016  1:20:48 PM	6/1/2016  1:20:00PM	FIRE	 114 WESTERN AVE	CLOSED	Officer dispatched to a report of a mulch fire. Officer arrived and report mulch fire was put out.	Allston/Watertown Team
2016-0008390	6/17/2016  7:48:00 PM	6/17/2016  7:30:00PM To  8:00:00PM	FIRE	WASSERSTEIN HALL 1585 MASSACHUSETTS AVE	CLOSED	Officer dispatched to a report of a small mulch fire. Officer arrived and report CFD arrived on scene and extinguished fire.	North Yard Team
2016-0008750	6/24/2016  1:24:06 PM	6/24/2016  1:24:00PM	FIRE	HOLDEN CHAPEL 15 HARVARD YARD	CLOSED	Officer dispatched to a report of mulch smoldering in the area. Officer arrived and report CFD arrived and doused area with water.	Yard Team
2016-0008857	6/27/2016  1:53:21 PM	6/27/2016  1:53:00PM	FIRE	WASSERSTEIN HALL 1585 MASSACHUSETTS AVE	CLOSED	Officer dispatched to a report of mulch smoldering in the area. Officer arrived and report CFD on scene and had extinguished small mulch fire.	North Yard Team
2016-0009715	7/17/2016  10:55:00 AM	7/17/2016 10:45:00AM To 10:50:00AM	FIRE	 114 WESTERN AVE	CLOSED	Officer dispatched to a report of mulch smoldering. Officer arrived and report BFD on scene and had extinguished fire.	Allston/Watertown Team
2016-0011714	9/2/2016  8:40:00 PM	9/2/2016  8:40:00PM	FIRE	FAIRCHILD BIOCHEM BUILDING 7 DIVINITY AVE	CLOSED	Officer dispatched to a report of a small fire. Officer arrived and report a small flame next to a bunsen burner that was extinguished by the reporting party. CFD also arrived on scene and report no damages done and area safe.	North Yard Team
2016-0008112	6/7/2016  2:28:00 PM	3/4/2016 To 4/30/2016 9:00:00AM To  9:58:00AM	FRAUD	CREDIT UNION 104 MT AUBURN ST	OPEN	Officer dispatched to take a report of fraud.	Radcliffe/Quad Team
2016-0010165	7/29/2016  12:38:00 AM	7/29/2016 12:38:00AM	FRAUD	WIGGLESWORTH HALL H 6 HARVARD YARD	CLOSED	"Officer dispatched to take a report of fraud.
Update 8/17/16: This case is closed pending any further information."	Yard Team
2016-0012758	9/27/2016  10:13:00 AM	7/20/2016 To 9/26/2016 4:00:00PM To  8:00:00AM	FRAUD	LITTAUER KSG 79 JFK ST	CLOSED	Officer dispatched to take a report of fraud.	Radcliffe/Quad Team
2016-0012897	9/30/2016  10:51:00 AM	9/29/2016 12:00:00PM To  5:00:00PM	FRAUD	HOFFMAN LAB GEOLOGY 20 OXFORD ST	OPEN	Officer took a report of fraud.	North Yard Team
2016-0014012	10/28/2016  10:16:00 AM	10/25/2016 To 10/27/2016 9:00:00AM To  9:00:00AM	FRAUD	CREDIT UNION LONGWOOD CAMPUS 677 HUNTINGTON AVE	OPEN	Officer dispatched to take a report of fraud.	Longwood Team
2016-0010883	8/18/2016  10:56:00 AM	8/8/2016 To 8/18/201612:00:00PM To 10:40:00AM	HARASSMENT	DIVINITY HALL 14 DIVINITY AVE	CLOSED	Officer dispatched to take a report of harassment.	North Yard Team
2016-0011053	8/23/2016  12:19:00 PM	2/1/2014 To 7/9/2016 9:00:00AM To  9:00:00AM	HARASSMENT	MAXWELL DWORKIN BUILDING 33 OXFORD ST	OPEN	Officer took a report of harassment.	North Yard Team
2016-0011693	9/2/2016  9:29:00 AM	4/8/2016 To 9/2/201611:18:00AM To  9:00:00AM	HARASSMENT	AUSTIN HALL 1515 MASSACHUSETTS AVE	OPEN	Officer dispatched to take a report of harassment.	North Yard Team
2016-0013631	10/17/2016  6:52:00 PM	10/13/2016 To 10/17/2016 3:00:00PM To  3:00:00PM	HARASSMENT	DUNKIN DONUTS 65 JFK ST	CLOSED	Officer dispatched to take a report of harassment.	Radcliffe/Quad Team
2016-0013970	10/27/2016  8:04:00 AM	10/27/2016  8:05:00AM To 12:00:00PM	HARASSMENT	LITTAUER KSG 79 JFK ST	CLOSED	Officer dispatched to take a report of harassment.	Radcliffe/Quad Team
2016-0008162	6/9/2016  4:18:00 PM	6/9/2016  4:00:00PM To  5:30:00PM	HARASSMENT PROTECTION ORDER	100 MASS AVE HUPD HQ	CLOSED	Officer obtained a copy of an HPO. The HPO was also served to an individual.	Longwood Team
2016-0009510	7/11/2016  8:41:00 AM	7/11/2016  8:41:00AM	HAZARDOUS CONDITION	ELIOT TRIANGLE 101 DUNSTER ST	CLOSED	Officer while on detail observed a hazardous condition involving a large flatbed truck operating the wrong way down a one way street. The officer was able to escort the truck into the construction site area.	River Team
2016-0011824	9/5/2016  7:29:00 PM	9/5/2016  7:15:00PM To 10:00:00PM	HAZARDOUS CONDITION	SMITH CAMPUS CENTER 1350 MASSACHUSETTS AVE	CLOSED	Officer dispatched to a report of a hazardous condition. Officer arrived and report fence had blown over obstructing the entire sidewalk. Consigli construction was notified and arrived on scene and secured the fence.	River Team
2016-0012232	9/15/2016  12:32:00 PM	9/15/2016 12:32:00PM	HAZARDOUS CONDITION	 MILL ST / PLYMPTON ST	CLOSED	"Officer while on detail observed a hazardous condition involving a large cement pump truck and a ten wheeler cab truck. Both trucks were blocking the pedestrian crosswalk, backing up in the area with pedestrians in the area and operating the wrong way down Mill Street. Officer notified CPD about the incident and they arrived on scene and informed the construction company that they would need to request a detail for future deliveries."	River Team
2016-0012892	9/30/2016  8:09:00 AM	9/30/2016  8:09:00AM To  9:00:00AM	HAZARDOUS CONDITION	WINTHROP HOUSE 8 PLYMPTON ST	CLOSED	Officer dispatched to a report of a hazardous condition. Officer arrived and report tractor trailer backing down Holyoke Street the wrong way. Officer then proceeded to stop traffic so the trailer could leave the construction site.	River Team
2016-0007887	6/1/2016  6:23:00 PM	2/4/2016 To 2/17/201612:01:00AM To 10:13:00PM	INFORMATION SECURITY BREACH	FAS OFFICES 1414 MASSACHUSETTS AVE	CLOSED	Officer took a report of an information security breach.	Radcliffe/Quad Team
2016-0008116	6/7/2016  9:37:00 PM	6/7/2016  9:37:00PM	LOST PROPERTY	SFP SOLDIERS FIELD PARK 02 111 WESTERN AVE	CLOSED	"Officer dispatched to take a report of a stolen green Trek bicycle valued at $500.00. The reporting individual informed the officer that their bicycle was left unsecured in the lobby area of the building.
Update 6/29/16: Upon further investigation the reporting individual informed the officer that their bicycle was returned to them as it was just a misunderstanding. The incident has been reclassified from a Theft to Lost Property."	Allston/Watertown Team
2016-0009740	7/18/2016  10:08:00 AM	7/18/2016 10:08:00AM	LOST PROPERTY	ANNENBERG HALL 18 KIRKLAND ST	CLOSED	"Officer dispatched to take a report of a stolen iPad mini valued at $250.00.
Update 7/27/16: Upon further investigation the officer was informed that the individual's iPad was found and was being held at the bus company's lost and found. The owner was notified of this finding. This incident has been reclassified from a Theft to Lost Property."	Yard Team
2016-0009931	7/21/2016  5:11:00 PM	7/21/2016  5:11:00PM	LOST PROPERTY	SCIENCE CENTER 1 OXFORD ST	CLOSED	"Officer took a report of a stolen blue Denim coat valued at $75.00, $300.00 in U.S. currency, $100.00 in Canadian currency, credit/debit cards, a license, and a brown wallet valued at $30.00.
Update 7/25/16: The reporting individual informed the officer that their property was not stolen, but misplaced and all items were found intact. This incident has been reclassified from a Theft to Lost Property."	Yard Team
2016-0009939	7/21/2016  9:48:00 PM	7/21/2016  9:48:00PM	LOST PROPERTY	MALLINCKRODT LAB 12 OXFORD ST	CLOSED	"Officer dispatched to take a report of a stolen iPhone 6S valued at 749.00.
Update 8/3/16: The reporting individual informed the officer that their phone was found and was returned to them. This incident has been reclassified from a Theft to Lost Property."	North Yard Team
2016-0010877	8/18/2016  10:31:00 AM	8/18/2016 10:31:00AM	LOST PROPERTY	PEABODY TERRACE 24 900 MEMORIAL DR	CLOSED	"Officer dispatched to take a report of a stolen pair of gold Ray Ban sunglasses valued at $200.00 and a recovered-stolen backpack.
Update 9/7/16: The reporting individual informed the officer that their property had been found by a friend and returned to them. This incident has been reclassified from a Theft to Lost Property."	Radcliffe/Quad Team
2016-0010896	8/18/2016  6:32:00 PM	8/18/2016  6:32:00PM	LOST PROPERTY	BIOLOGY LAB 16 DIVINITY AVE	CLOSED	"Officer dispatched to take a report of a stolen Amazon Kindle tablet valued at $80.00.
Update 9/8/16: The reporting individual informed the officer that their property was misplaced and not stolen. This case has been reclassified from a Theft to Lost Property."	North Yard Team
2016-0011859	9/6/2016  11:42:00 AM	9/6/2016 11:42:00AM	LOST PROPERTY	ANNENBERG HALL 18 KIRKLAND ST	CLOSED	"Officer took a walk in report of a stolen Apple laptop valued at $1,300.00, a textbook valued at $30.00 and a black book bag valued at $20.00.
Update 9/28/16: The reporting individual informed the officer that their property had been found and returned to them. This incident has been reclassified from a Theft to Lost Property."	Yard Team
2016-0013218	10/7/2016  3:02:00 PM	10/7/2016  3:02:00PM	LOST PROPERTY	 65 MT AUBURN ST	CLOSED	"Officer dispatched to take a report of a stolen iPod valued at $350.00.
11/2/16: The reporting individual informed the officer that their property was not stolen but misplaced. This incident has been reclassified from a Theft to Lost Property."	River Team
2016-0013894	10/24/2016  4:56:00 PM	10/24/2016  2:40:00PM To  2:45:00PM	LOST PROPERTY	LAMONT LIBRARY 11 QUINCY ST	CLOSED	"Officer dispatched to take a report of a stolen gray pea coat valued at $65.00, a Harvard wallet/keychain valued at $20.00, $35.00 in U.S. currency, an HUID card, credit/debit cards, a license and keys.
Update 10/26/16: The reporting individual informed the officer that their coat was not stolen, but misplaced. This incident has been reclassified from a Theft to Lost Property."	River Team
